Startdatum,Starttid,Slutdatum,Sluttid,Aktivitet,Grupp,Tillfälleskod/kurskod,Lokal,Info,Personal,Program/klass 
2018-08-27,16:00,2018-08-27,18:00,Föreläsning,,IS1500,M1,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-08-29,12:00,2018-08-29,13:00,Föreläsning,,"DD1390, DD1391",Q1,,Viggo Kann,CDATE2
2018-08-29,13:00,2018-08-29,15:00,Föreläsning,,IS1500,Q1,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-08-30,08:00,2018-08-30,10:00,Föreläsning,,IS1500,Q1,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-08-30,10:00,2018-08-30,12:00,Föreläsning,DD1368 Helklass,DD1368,FR4,,Dena Hussain,"CDATE2, CLGYM3-TIKT"
2018-08-30,13:00,2018-08-30,15:00,Föreläsning,,ME1010,F2,,Maria Lindhagen,CDATE2
2018-08-31,10:00,2018-08-31,12:00,Föreläsning,,ME1010,E1,,Maria Lindhagen,CDATE2
2018-09-03,10:00,2018-09-03,12:00,Övning,"IS1500 grupp C, IS1500 grupp D",IS1500,"Q33, Q34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-03,13:00,2018-09-03,15:00,Övning,"IS1500 grupp A, IS1500 grupp B",IS1500,"Q33, Q34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-03,15:00,2018-09-03,17:00,Föreläsning,,ME1010,E1,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-09-04,13:00,2018-09-04,15:00,Föreläsning,DD1368 Helklass,DD1368,FR4,,Dena Hussain,"CDATE2, CLGYM3-TIKT"
2018-09-05,12:00,2018-09-05,13:00,Övning,,IS1500,U21,,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-05,15:00,2018-09-05,17:00,Föreläsning,DD1351 Helklass,DD1351,E1,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
2018-09-06,08:00,2018-09-06,10:00,Föreläsning,DD1351 Helklass,DD1351,Q1,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
2018-09-06,15:00,2018-09-06,17:00,Föreläsning,,IS1500,D1,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-09-07,10:00,2018-09-07,12:00,Föreläsning,DD1368 Helklass,DD1368,FR4,,Dena Hussain,CDATE2
2018-09-07,13:00,2018-09-07,15:00,Föreläsning,,ME1010,E1,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-09-07,15:00,2018-09-07,17:00,Övning,DD1351 Helklass,DD1351,"Q31, Q33, Q34, Q36",,"Alf Thomas Sjöland, Johan Karlander","CDATE2, CINTE2, CINTE3"
2018-09-10,08:00,2018-09-10,12:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-10,10:00,2018-09-10,12:00,Föreläsning,DD1368 Helklass,DD1368,FR4,,Dena Hussain,CDATE2
2018-09-10,13:00,2018-09-10,15:00,Föreläsning,,ME1010,D1,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-09-10,15:00,2018-09-10,19:00,Laboration,,IS1500,4V2Röd (Röd),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-11,08:00,2018-09-11,10:00,Föreläsning,DD1351 Helklass,DD1351,E1,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
2018-09-11,10:00,2018-09-11,12:00,Föreläsning,DD1368 Helklass,DD1368,Q1,,Dena Hussain,"CDATE2, CLGYM3-TIKT"
